ESCLAVA EP56-H264
26/10/2016

NdA	(générique de début)
Manuela	(hh\ hh/) (pleure h/) Jésus... (h/)(h\ h/) (pleure) (h/) (pleure) No______n... pas mo____n frè_________re...

Félipé	Apparemment, le capitaine Granados est responsable de cette tuerie.

Général	(soupire)

Manuela	(hhh/)

Général	Cet homme n'était plus capitaine.

Manuela	(pleure) (hh/) (pleure)

Général	(hhh/)

Manuela	(gémit_____)

Général	Il a déshonoré son rang.

Manuela	(h/)(gémit)

Général	(hhh/)

Manuela	(h/) (pleure)

Général	(soupire)

Félipé	(mts h/)

Manuela	(h\)

Félipé	Toutes mes condoléances pour votre fils. (hhh\)

Manuela	(pleure___)

Général	(hhh/)

Général	(soupire) (hh/)

(BOUCLE 19 - 00:14:57:18)
		19

Général	Capitaine Cacero ! (hh/) (h/ hh\)

Cacero	Général !

Général	(hh/) Regroupez les esclaves qu'on a capturés... (hh/) puis ramenez-les à leurs haciendas respectives.

Félipé	(hh\)

Général	(hh/) Je me fiche qu'ils soient morts ou blessés. Exécution !

Cacero	A vos ordres !

Isabel2	Non ! Non, non, non, non ! Tomas a la cheville cassée. (h/) Il est incapable de marcher, il faut lui maintenir le pied !

Général	(h/) Pas d'importance.

Cacero	Dépêchez-vous !

Général	(h/) Ces fichus esclaves ont causé la mort d'Alonso ! (h/) Par leur faute, j'ai perdu mon deuxième fils !

Isabel2	Non ! Général, ne laissez pas la haine envahir votre coeur. Les seuls coupables sont Granados (h/) et la bande de malfrats qui l'accompagnait ! (hh/)

Général	Tu as vécu la scène peut-être ? (hh/) Ces esclaves n'étaient pas en train de s'enfuir, peut-être ?

Isabel2	(hh/ h\ h/ hh\ hh/)

Général	(hhh/ hh\)

Isabel2	(pleure)

Général	Ils sont responsables de cette tragédie ! (h/) Comprends-le bien ! (h/) Parce qu'ils se sont crus au-dessus des lois ! (hh/) Parce qu'ils ont refusé leur destin !

Isabel2	(h/) Parce que c'est un destin injuste, ils sont... (aah!)(hh/)

Général	La vie est injuste, ma petite ! Toute la souffrance qui nous entoure en est bien la preuve !

Isabel2	(pleure)

Général	Cacero !

Isabel2	(pleure)

Général	On y va ! S'ils ne marchent pas, on les traînera ! En route ! Allez !

Cacero	Dépêchez-vous !

(BOUCLE 20 - 00:15:55:04)
		20

Manuela	Pourquoi, Jésus, pourquoi___?

Félipé	(h\) (mts hh/)

