Time stamp	4.00pm
Detective	The only person who is going to get hurt is you

Detective 	If you continue this

Detective	Put down the gun

Detective	Come on man let's handle this the right way

Detective	The legal way

Kai	Yeah, that didn't work out too well for my daughter and her

Family	

Detective	And that's on us and I apologise

Detective	But there is good and bad everywhere

Kai	Yeah

Detective	They were bad people pretending to be good You are good doing bad and two wrongs don't make it right man!

Kai	Nothing will make this right, not even this

Detective	So why are we doing this

Kai	Because I can

Kai	Because no-one else did

Kai	Don't

Kai	I don't want to shoot you, I don't want to shoot her but I will

Kai	Stay there

Kai	Go, go, go

Kai	Go

Kai	No

Detective	Kai!

Kai	No, fuckin stay there

Detective	Kai, you're not going to shoot me

Kai	I will shoot you


Detective 	Let her go

Kai	I'm not letting her go

Kai	I'm not letting her go

Detective	Kai, please let her go, she didn't do anything

Kai	I don't want to hurt her

Detective	I don't have a gun

Detective	Kai, calm down

Detective	That's not you, you're not that type of man

Detective	They're already dead

Kai	Stay there

Detective	Kai, they're all dead

Detective	Let her go, please

Detective	I'm begging you

Kai	I'm going to shoot you

Kai	I'm going to shoot you

Kai	I'll shoot you

Detective 	Kai, let her go

Detective	You want to shoot me, then shoot me, but you fucking let her go now that’s….....That's not you Kai

Detective	Let her go

Detective	Ok

Detective	I'm a father, just like you

Detective	Just like you, I am a father, I understand, but please just let her go

Detective	Please

Detective	Kai

Detective	Kai, listen to me

Detective	Let her go

Detective	No!

Kai	That's on you, that's on you

Detective	No

Detective	Partner, help, help me, officer down Two down	

Detective	Come on bro, hang in there, hang in there

Detective partner	I didn't kill her right?

Detective	No you didn't, she's good, she's going to make it

Detective	Fuck!

Fah	Argh, fuck

Kai	This is a surprise

Fah	Where are you?

Kai	I don't know

Fah	There are cops everywhere

Kai	Yeah, I know

Kai	Didn't go quite as well as planned

Fah	Send me your location, they don't know my car, I'm close

Fah	I will pick you up

Kai	Alright

Kai	Park in the alley

Kai	I'll see you when you pull up

Fah	Stay low

Kai	Thank you

Kai	Where are we going

Fah	You're bleeding, we need to fix you

Kai	I'm fine

Kai	Bullet went through

Fah	How do you know

Kai	I felt it

Kai	But I can't go to a hospital

Kai	I'm serious

Kai	That detective

Kai	He's good

Kai	It won't take him long to figure out what the next target is

Kai	And the last target himself

Kai	He's going to know what's going on and the next go and disappear

Fah	We're not going to the hospital, don't worry, it's not too far Away

Detective wife	Thank you

Detective wife	How are you holding up?

Detective	Better

Detective wife	You did your best

Detective wife	I heard everything

Detective	He was 29

Detective	He shot a nurse

Detective	She was 24

Detective wife	He's not a kid

Detective	There's another target

Detective wife	I know

Detective wife	That's why I'm here

Detective wife	You remember the accident

Detective wife	There was one person who was injured

Detective wife	Didn't die

Detective wife	Her name was Wanida Holsted

Detective wife	She was a cab driver

Detective	The girl who testified at the trial?

Detective wife	Yeah

Detective wife	Earlier tonight she picked up someone from Onnuch road around 8pm

Detective wife	2 hours later dropped him off on Silom road

Detective	Near the law offices

Detective	So, where is she now?

Detective wife	She turned her app off after that

Detective wife	She was driving a new Volvo, I have the plates

Detective	We can track her

Detective	It will show up if she's on the road. Put everything on it

Detective wife	I've already ordered it

Detective	Of course you did babe

Detective wife	You saw the photos

Detective	Stop!

Detective	He may be a good hearted person

Detective	But he's still a cold blooded murderer

Detective wife	He never was one

Detective wife	He served in the military, 2 tours, 40 years ago

Detective wife	After that not even a single blemish

Detective wife	Not even a traffic violation

Detective	He's still a murderer

Detective wife	He's also a father

Detective wife	Just like you

Detective	What are you trying to say, I should just drop everything

Detective wife	No, but I know you

Detective wife	You just watched your young partner get shot and dieYou're operating on emotions right now

Detective wife	I'm just here to give you some balance

Detective wife	You're a good man, like him

Detective wife	I don't wont to see you do a bad thing

Detective wife	2 wrongs don't make a right

Detective	I gotta go to work

Detective wife	Look at him

Detective wife	Now look at me

Detective wife	You're a good cop babe, but remember you're a father now first and foremost

Detective wife	Then a husband, then a cop

Detective	I love you

Detective wife	Ditto

Time stamp	4.25am

Fah	Oh my God!!

Fah	Ok, ok,ok, ok

Kai	Do you have some sealing or some alcohol or something first

Fah	oh right yes

