EM FAMILIA VO TCI EP 73-H264
21/04/2016

(BOUCLE 1 - 10:00:00:00)
		01

FELIPE	Le père de Bia... c'est Fernando.
SANDRA	(ah) Si, elle voulait rester. On l'avait déjà prévu ensemble. Mais voilà, Laerté____, enfin...

HELENA	(oh______)

URIEL	Ça ne lui a pas plu. Ils se sont disputés et ils sont partis. Il l'a suivi et il avait l'air très en colère.

HELENA	(hh) Bon sang.

LUCAS	Ces deux-là sont toujours comme ça. Ensuite ça s'arrange et puis voilà.

RITA	Non, pas toujours. Parce que l'autre jour, il lui a attrapé le bras et il l'a serré tellement fort que ça lui a fait une marque.

HELENA	(euh)

HELENA	(euh) Elle vous a dit où elle allait ?

SANDRA	Non.

SANDRA	On l'ignore.

HELENA	(h) Et bien (euh) merci encore. Au revoir.

(BOUCLE 19 - 10:13:42:19)
		19

SHIRLEY	(hé__)

SHIRLEY	Je suis là.

HELENA	(h____) (hh)

HELENA	Tu es toujours là, hein Shirley ? À courir derrière Laerté.

SHIRLEY	C'est vrai. Je me lasse vraiment pas de le faire. (h_______) Je l'assume et je l'admets. Et toi alors ?

SHIRLEY	(h________) Combien de temps vas-tu encore cacher que toi aussi tu ne vis que dans son ombre ? Ou mieux, que tu attends son retour.

HELENA	Je suis effectivement venue pour parler avec lui. Malheureusement, il n'est pas là. Mais nous n'avons qu'un sujet de conversation :

HELENA	ma petite fille.

(BOUCLE 20 - 10:14:26:09)
		20

SHIRLEY	Comme si c'était possible d'arriver à oublier cet homme et d'en faire un sujet clos pour toujours.

SHIRLEY	(h_______) Je n'y crois pas, (h____) mais je ne veux pas d'explications. Ne t'embête pas. Tu ne me dois rien. Mais tu les dois à ton époux.

SHIRLEY	Ça c'est sûr.

SHIRLEY	Le pauvre homme.

HELENA	Tu sais ce que c'est ton problème ?

HELENA	Tu es tellement obsédée par Laerté que tu n'arrives même plus à voir autre chose que lui.

HELENA	Regarde-toi Shirley. Tu es blasée.

HELENA	Cette expression sur ton visage, "je suis là, je cherche les problèmes".

HELENA	Qu'est-ce qu'il y a ? T'as perdu toute ta joie de vivre, ton humou____r ? Tu es en colère ? Hein ? J'imagine que ce mariage t'agace...

HELENA	C'est dur, je le sais. C'est dur de devoir admettre sa défaite, n'est-ce pas ?

(BOUCLE 21 - 10:15:15:10)
		21

SHIRLEY	Non, je n'ai pas peur de la défaite parce que ça n'a aucun sens pour moi.

SHIRLEY	Luisa est un amour. Mais elle est bien trop rêveuse. Elle va se faire mal.

SHIRLEY	Excuse-moi. Mais c'est le cas, tout comme toi d'ailleurs.

SHIRLEY	Elle idéalise un prince, mais tout ce qu'elle a c'est Laerté. La pauvre.

SHIRLEY	Il n'est pas fait pour n'importe quelle femme.

SHIRLEY	(mts) Laerté (h_______) (hh) est fait pour les femmes comme moi. Qui ne rêvent pas, qui agissent.

(BOUCLE 22 - 10:15:55:21)
		22

HELENA	(sourire)

HELENA	Malheureusement pour toi qui aimes tant agir, (h______) ça fait très longtemps qu'il a changé ses projets Shirley, et d'ailleurs il ne t'a t'inclue dans aucun d'entre eux.

SHIRLEY	(mts) Tu te trompes sur toute la ligne, Helena.

HELENA	Tu as passé ta vie à lui courir après, Shirley. Sans beaucoup de succès, hein ? C'était déjà comme ça à mon époque et tu as perdu encore une fois. Oui, et puis cette fois, contre ma fille.

SHIRLEY	J'ai ni perdu, ni gagné, comme je te l'ai déjà dit.

SHIRLEY	Tu es une idiote de croire en l'exclusivité, et encore plus d'avoir transmis cette idée à ta fille. Parce que c'est ce qu'elle pense aussi, pauvre enfant.

SHIRLEY	Laerté n'est pas fidèle, non. Il ne le sera jamais. Il ne l'était ni à ton époque et ni aujourd'hui.

SHIRLEY	Il fréquentait beaucoup ma chambre à Goiania, tu le savais ? Oui.

(BOUCLE 23 - 10:16:37:01)
		23

SHIRLEY	(h____) (hh)

SHIRLEY	À chaque dispute, qui le consolait ?

SHIRLEY	À chaque coup de blues, qui lui remontait le moral ? (h_____) C'est moi, toujours moi.

SHIRLEY	(sourire)

SHIRLEY	D'après toi, qui est-ce qui (h______) le prenait dans ses bras pendant que tu lui hurlais dessus et que tu faisais tes crises de petite fille gâtée ? "Moi___", oui !

HELENA	Ça ne m'intéresse plus, le passé est derrière nous.

SHIRLEY	Non, non, il n'est pas aussi loin que ça.

HELENA	(h______)

HELENA	Qu'est-ce que tu veux dire Shirley ? Que toi et ton_____ Laer... vous avez...

HELENA	(h____)

HELENA	(sourire)

HELENA	Ça...

HELENA	Ça me surprend pas.

(BOUCLE 24 - 10:17:22:09)
		24

HELENA	(h) Ce qui me surprend vraiment c'est que cet imbécile continue encore de courir après ma fille, (h) et à lui faire toutes ces scènes odieuses de jalousie.

SHIRLEY	C'est un jeu, Helena. Il aime trahir, mais il déteste qu'on le trahisse. (h) (hh) S'il trompe Luisa c'est parce qu'elle se laisse tromper.

HELENA	Tu es sordide, Shirley !

HELENA	Et lui aussi. D'ailleurs tous les deux, vous vous méritez.

HELENA	Mais ma fille ne mérite pas d'être au milieu de cette relation que vous avez.

SHIRLEY	Luisa a été ensorcelée.

SHIRLEY	Laerté fait tout ce qu'il veut d'elle. Personne ne peut rien y faire.

HELENA	Tu es cynique ! Tu mérites une bonne correction mais la vie se chargera de te la donner. Alors je vais pas perdre mon temps avec toi.

SHIRLEY	(h______) La vie m'a enseigné que le vrai bonheur était un prix à gagner, et je me battrai jusqu'à la fin.

(BOUCLE 25 - 10:18:15:10)
		25

AMBIANCE	(ambiance rue VI_______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________)

