FELIPE	(AFLITO) 
SEGURANÇA 1	Calma o “caralho”. Voltando por aonde vieram. 

ANDRÉ	Cara, vamos conversar. (REAC)  

SEGURANÇA 1	Conversar o “caralho”. Vai!

ANDRÉ	Ai. Calma. 

LUIZA	(REAC) 

SEGURANÇA 1	Andando. 

LUIZA	(REAC) 

SEGURANÇA 1	Isso, vai. 

LUIZA	(REAC) 

JOEL	(off) A fiscalização tá aqui, Miguel, e eu não estou gostando nada disso. (on) É, eu te avisei, eu te avisei "pra" (para) não começar as operações tão cedo. 

JOEL	(celular) Agora eles estão falando que vão fazer isso, que vão fazer aquilo outro...

MIGUEL	Menos, Joel. Fala que eles têm razão, manda multar. 

MIGUEL	(celular) Inclusive sai bem mais barato do que perder alguma das escavadeiras que estão aí. 

JOEL	(REAC) Ah, eles não vão topar. Eles estão até ameaçando chamar o Batalhão Ambiental...

JOEL	(celular) ... Cara. 

MIGUEL	“Eles”, quem, Joel, um fiscalzinho de merda? 

JOEL	A imprensa, cara, a imprensa. 

MIGUEL	Que imprensa? 

JOEL	(celular) A Natalie Lima, a jornalista. 

MIGUEL	É claro, tá explicado. 

JOEL	(celular) E tem órgão internacional aqui! Alô! 

JOEL	Eu não estou te escutando, Miguel. 

MIGUEL	(celular) Me coloca no viva-voz...

MIGUEL	... Com a jornalista. 

JOEL	Tá bom, espera um pouquinho. O Miguel quer falar com você. 

MIGUEL	(viva voz) Natalie Lima? 

NATALIE	Miguel?

MIGUEL	(viva voz) Em alguns dias nós teremos a...

MIGUEL	... Assinatura do decreto que libera a mineração na reserva. 

MIGUEL	(viva voz) Um jantar de luxo, senadores, o presidente, empresas do mundo todo. 

MIGUEL	(RISO) Pena que vocês vão estar aí, de férias...

MIGUEL	(viva voz) ... Na floresta. 

NATALIE	É, junto com o Batalhão Ambiental da Polícia Militar. 

MIGUEL	(viva voz) Isso é blefe. Mas sabe o que não é blefe, Natalie? 

MIGUEL	Que o jantar é no dia mundial da água, e nós vamos fazer um brinde "pra" (para) vocês. 

NATALIE	(celular) Miguel você não tem como negar o... 

FALCÃO	O “filha da puta” desligou. 

SEGURANÇA 1	Eu trouxe os amiguinhos de vocês aqui, oh. 

JOEL	Acomodem eles no refeitório, por favor. 

FALCÃO	Vamos.

SEGURANÇA 1	Eles estão pensando que a gente é otário. 


SEGURANÇA 2	Todo mundo "pra" (para) lá! Andando!

SEGURANÇA 1	Bora! 

SEGURANÇA 2	Todo mundo "pra" (para) lá!

SEGURANÇA 1	Bora! 

SEGURANÇA 2	Andando! Vamos! 

SEGURANÇA 1	Anda! 

SEGURANÇA 2	Vamos bora! Andando!

SEGURANÇA 1	Bora!

SEGURANÇA 2	Vamos!

FALCÃO	(REAC) 	

SEGURANÇA 1	Vai, vai. 

ANDRÉ	Calma. 

SEGURANÇA 1	Cala a boca, vai. 

SEGURANÇA 2	Rápido! Vamos, todo mundo andando!

GREGORY	Calma, cara.  

SEGURANÇA 2	Vamos!

FALCÃO	(REAC) 

GREGORY	Ei, calma, calma. 

ANDRÉ	Calma, sem violência, gente, por favor.

GREGORY	Tá todo mundo aqui...

SEGURANÇA 2	(AGRESSÃO) 

GREGORY	(REAC) 

NATALIE	(REAC) 

FALCÃO	Greg! 

GREGORY	(REAC) 

ANDRÉ	Calma. 

SEGURANÇA 1	Cala a boca! 

GREGORY	(REAC) 

SEGURANÇA 1	Shiu.  

ANDRÉ	Respira. 

FALCÃO	Calma. 

GREGORY	(REAC) 
	
SEGURANÇA 1	Shiu. 

SEGURANÇA 2	(REAC) 

SEGURANÇA 1	Vamos recuar. Recuar! 

ÍNDIOS	(REAC SOM GUERRA CONTINUA) 

GREGORY	Bora! Vamos! 

ANDRÉ	Vai, então vamos. 
	
GREGORY	Não, não, não, não. 

ÍNDIOS	(REAC SENDO ATINGIDOS)

FALCÃO	Levanta, porra!

GREGORY	(REAC) 

ÍNDIOS	(REAC SOM GUERRA CONTINUA) 

ANDRÉ	Levanta. 

CLARA	Ajuda! 

ANDRÉ	Socorro! 

NATALIE	Payall! 

GREGORY	Anda!

NATALIE	Todo mundo vai morrer! 

ANDRÉ	Vamos bora!

PAYALL	(Língua nativa) 00:32:50:25	

NATALIE	(REAC) 

PAYALL	(Língua nativa) 00:32:54:13

LUIZA	André, Clara! 

CLARA	André! Ai! Ai! (REAC)  

ANDRÉ	Vamos bora, Clara, vem. 

CLARA	(REAC) 

ANDRÉ	Vem! 

PAYALL	(REAC) 

FALCÃO	(REAC) 

NATALIE	(REAC) 

FALCÃO	Vai, vai, vai, vai. 

LUIZA	(REAC) (CHORO) 

FALCÃO	Tá tudo bem? 

MENINAS	(REAC) 

FALCÃO	(REAC) 

GREGORY	(REAC) 

LUIZA	(CHORO) 

VERÔNICA	(REAC) 

