206,BLADE,Right. I know what to do.,25,0.5
207,JED,And Blade. You leave MacMasters alone. You hear me?,51,1.02
208,BLADE,I heard you.,12,0.24
209,SILAS,Better get some sleep.,22,0.44
210,BRITT,"Hey kid, wake up!",17,0.34
211,TUCKER,"I'm awake! Marshal, we've been ridin' all night, can't we camp?",63,1.26
212,BRITT,Last thing I need is for you to fall off your horse and slow us down.,69,1.38
213,TUCKER,"I said, I'm awake!",18,0.36
214,BRITT,Half asleep ain't full awake.,29,0.58
215,TUCKER,"You're a real mean son of a-- Damn! Damn, Marshal! What'd you do that for?",74,1.48
216,BRITT,Peace of mind. Now I know you'll stay awake.,44,0.88
217,TUCKER,"Son of a bitch! I got a loose tooth, dammit!",44,0.88
218,BRITT,You can tell they're running fast. Prints are deep.,51,1.02
219,TUCKER,"Yep, I see.",11,0.22
220,BRITT,"If they hit up the bank, then this way makes sense. Avoid a posse from the Laramie trail.",89,1.78
221,TUCKER,"Yeah, it's just what I was thinkin'.",36,0.72
222,BRITT,"You done much tracking, Tucker?",31,0.62
223,TUCKER,Ain't much of it called for in town.,36,0.72
224,BRITT,Suspected as much. These tracks are from a war party.,53,1.06
225,TUCKER,What?,5,0.1
226,BRITT,Hooves are unshod. Jed Blake's gang turned south a mile back.,61,1.22
227,TUCKER,Why don't we follow 'em?,24,0.48
228,BRITT,Need to pick up my guide.,25,0.5
229,TUCKER,A guide? What for?,18,0.36
230,BRITT,If the trail goes cold.,23,0.46
231,TUCKER,"Hell, if a trail go cold, no one can follow it.",47,0.94
232,BRITT,Chaska can.,11,0.22
233,TUCKER,Chaska? An Injun?,17,0.34
234,BRITT,"Half Injun, half white.",23,0.46
235,TUCKER,How can we trust him?,21,0.42
236,BRITT,He's a good man.,16,0.32
237,TUCKER,"I didn't figure you for much of an Injun-lover, Marshal MacMasters.",67,1.34
238,BRITT,"Well, I might even learn to like you one day. I'm full of surprises.",68,1.36
239,TUCKER,"MacMasters, I'm not ridin' with no half-breed!",46,0.92
240,BRITT,Then turn your horse and head for home.,39,0.78
241,BRITT,I need Chaska on this hunt a hell of a lot more than I need you.,64,1.28
242,JED,"Come here, boy. Give me that hat.",33,0.66
243,CHAD,"Hey, give it back. It's hot as blazes out here, give me my hat!",63,1.26
244,JED,"Let the sun burn in your scalp, boy. Could take the fight out of ya.",68,1.36
245,BRITT,"Tucker, check on her.",21,0.42
246,TUCKER,Is that the blacksmith?,23,0.46
247,BRITT,"Damn. Yeah, it's Harry Dyer.",28,0.56
248,TUCKER,"This his wife, too?",19,0.38
249,BRITT,"Yeah, that's his wife.",22,0.44
250,TUCKER,Where you goin'?,16,0.32
251,BRITT,To get a ride. That war party might pick up Jed's trail by cutting east.,72,1.44
252,TUCKER,Aren't we gonna bury 'em? It'll take 15 minutes.,48,0.96
253,BRITT,You got a shovel?,17,0.34
254,TUCKER,No.,3,0.06
255,BRITT,Neither do I. So it'll take more than 15 minutes. We ain't got the time. Let's go. Hiya!,88,1.76
256,SILAS,"Hey, Willie.",12,0.24
257,WILLIE,What?,5,0.1
258,SILAS,We robbed a stage and bank days ago. And we ain't divide the loot up yet.,73,1.46
259,WILLIE,True.,5,0.1
260,SILAS,We always divide it up as soon as we can.,41,0.82
261,WILLIE,Jed'll do it.,13,0.26
262,SILAS,"Willie, when? I don't wanna die broke.",38,0.76
263,WILLIE,Who said you gonna die?,23,0.46
264,SILAS,"We're out here ridin' in the open in Indian territory with a Marshal behind us, takes us dead, not alive! We're sittin' ducks.",126,2.52
265,WILLIE,What's your point?,18,0.36
266,SILAS,We're gonna die. Sooner than later.,35,0.7
267,WILLIE,"You don't need that money, do you?",34,0.68
268,JED,"Willie! Silas! Don't be makin' any plans now! Come on, boy!",59,1.18
269,BRITT,Hello. Chaska? Hello? Chaska?,29,0.58
270,TUCKER,He's not here.,14,0.28
271,CHASKA,Hold it right there. State your business.,41,0.82
272,BRITT,"Chaska. If you've lost your eyesight, you ain't worth a plug-nickel to me.",74,1.48
273,CHASKA,Britt MacMasters.,17,0.34
274,BRITT,"Hello, brother.",15,0.3
275,CHASKA,"Hell no, I haven't lost my eyesight. You should come ridin' in with the sun at your back like you always do. You know it. What brings you in?",141,2.82
276,BRITT,Got a tracking job for you.,27,0.54
277,CHASKA,I'm listenin'.,14,0.28
278,BRITT,Could be Jed Blake and his gang.,32,0.64
279,CHASKA,You don't need me to get those pissants.,40,0.8
280,BRITT,"I do, if they go above the tree line.",37,0.74
281,CHASKA,Mountains?,10,0.2
282,BRITT,"Uh, I said, ""if"". Tracks head south, maybe Mexico, but I can't take a chance, I-- I need you.",93,1.86
283,CHASKA,"You know the deal, $10 for the week. Anything more, I get $1 a day extra.",73,1.46
284,BRITT,Fair enough.,12,0.24
285,TUCKER,$10?,4,0.08
286,CHASKA,"That's right, kid. You see those hills over there? That's Sioux territory. And whether we go desert or high country, my scalp is worth at least $10. What'd they do, Britt?",171,3.42
287,BRITT,"Shot Dex, killed a boy, and kidnapped my son.",45,0.9
288,CHASKA,"I'll find them. You kill them, you owe me nothin'. Who's the greenhorn?",71,1.42
289,BRITT,"He's Clay Tucker, deputy out of Clearmont.",42,0.84
290,TUCKER,"You know, he don't talk much like an Injun.",43,0.86
291,BRITT,"Father was Ki wa-go, great warrior. His mom was Kate Ryan, missionary. Gave him a good schoolin'.",97,1.94
292,CHASKA,"Where we headed, Britt?",23,0.46
293,BRITT,Follow me.,10,0.2
